productcomp,producttype,productspec
african catfish,catfish,african
alaska cod,cod,alaska
alcohol free beer,beer,alcohol free
alcoholic drink,alchoholic drink,alchoholic drink
alfalfa sprout,alfalfa,sprout
algae,algae,algae
allspice,allspice,allspice
almond,almond,almond
almond drink,almond,drink
almond oil,almond,oil
aloe vera juice,aloe vera,juice
amaranth grain,amaranth,grain
amberjack,amberjack,amberjack
anchovie,anchovie,anchovie
anglerfish,anglerfish,anglerfish
animal fat tissue,animal,fat tissue
anise seed,anise,seed
apple,apple,apple
apple jam,apple,jam
apple jucie,apple,juice
apple juice,apple,juice
apricot,apricot,apricot
apricot jam,apricot,jam
apricot juice,apricot,juice
apricot kernel,apricot,kernel
arctic char,char,arctic
aromatic herb,aromatic herb,aromatic herb
artichoke,artichoke,artichoke
asiago,asiago,asiago
asparagus,asparagus,asparagus
aubergine,aubergine,aubergine
avocado,avocado,avocado
baby maize,maize,baby
baffalo fresh meat,baffalo,fresh meat
balm dried leaf,balm,dried leaf
baltic harring,harring,baltic
banana,banana,banana
banana juice,banana,juice
barley,barley,barley
barley coffee,barley coffee,barley coffee
barley flour,barley,flour
barley grain,barley,grain
barley groat,barley,groat
barracuda,barracuda,barracuda
basil,basil,basil
bean,bean,bean
bean and meat meal,bean and meat,meal
bean without pod,bean,without pod
bechamel,bechamel,bechamel
bee product,bee,product
beef and pork fresh meat,beef and pork,fresh meat
beef and pork minced meat,beef and pork,minced meat
beef carcase,beef,carcase
beef cooked cured meat,beef,cooked cured meat
beef fat tissue,beef,fat tissue
beef fresh meat,beef,fresh meat
beef ham,beef,ham
beef heart,beef,heart
beef kidney,beef,kidney
beef liver,beef,liver
beef minced meat,beef,minced meat
beef offal,beef,offal
beef salami,beef,salami
beef stock cube,beef,stock cube
beef tallow,beef,tallow
beef tongue,beef,tongue
beer,beer,beer
beetroot,beetroot,beetroot
beetroot juice,beetroot,juice
berry,berry,berry
biscuit,biscuit,biscuit
bivalve mollusc,bivalve mollusc,bivalve mollusc
black pepper,pepper,black
blackberry,blackberry,blackberry
blackberry infusion leaf,blackberry,infusion leaf
blackcurrant,currant,black
blackcurrant juice,currant,black juice
blood,blood,blood
blood sausage,sausage,blood
blue cod,cod,blue
blue mussel,mussel,blue
blue shark,shark,blue
blueberry,blueberry,blueberry
bluefin tuna,tuna,bluefin
bogue,bogue,bogue
bonito,bonito,bonito
borage,borage,borage
bran,bran,bran
brazil nut,brazil nut,brazil nut
bread,bread,bread
bread dish,bread,dish
bread dried flour,bread,dried flour
breadcrumb,breadcrumb,breadcrumb
bream,bream,bream
brie,brie,brie
brill,brill,brill
brioche,brioche,brioche
broad bean,broad bean,broad bean
broccoli,broccoli,broccoli
brown cane sugar,cane sugar,brown
brown sugar,sugar,brown
brown trout,trout,brown
brussel sprout,brussel sprout,brussel sprout
buckwheat,buckwheat,buckwheat
buckwheat food,buckwheat,flour
buckwheat groat,buckwheat,groat
bulgur,bulgur,bulgur
butter,butter,butter
buttermilk,buttermilk,buttermilk
cabbage,cabbage,cabbage
caciocavallo,caciocavallo,caciocavallo
cake,cake,cake
camembert,camembert,camembert
candied banana,banana,candied
candied fruit,fruit,candied
candied nut,nut,candied
candy,candy,candy
canned anchovie,anchovie,canned
canned apple,apple,canned
canned bean,bean,canned
canned chickpeas,chickpeas,canned
canned fish,fish,canned
canned french bean,french bean,canned
canned fruit,fruit,canned
canned herring,herring,canned
canned mackerel,mackerel,canned
canned meat,meat,canned
canned mushroom,mushroom,canned
canned peach,peach,canned
canned pear,pear,canned
canned pineapple,pineapple,canned
canned salmon,salmon,canned
canned sardine,sardine,canned
canned seafood,seafood,canned
canned sprat fish,sprat fish,canned
canned sweet maize,maize,canned sweet
canned tuna,tuna,canned
canned vegetable,vegetable,canned
carambolas,carambolas,carambolas
caraway,caraway,caraway
caraway seed,caraway,seed
carbonated water,water,carbonated
cardamom,cardamom,cardamom
carob,carob,carob
carp,carp,carp
carrot,carrot,carrot
carrot juice,carrot,juice
cashew nut,cashew nut,cashew nut
casing,casing,casing
cassava flour,cassava,flour
cassava root,cassava,root
catfish,catfish,catfish
cauliflower,cauliflower,cauliflower
celeriac,celeriac,celeriac
celery,celery,celery
celery leaf,celery,leaf
cephalopod,cephalopod,cephalopod
ceps,ceps,ceps
cereal,cereal,cereal
cereal bar,cereal,bar
cereal bread,cereal bread,cereal bread
cereal flour,cereal,flour
cereal grain,cereal,grain
cereal snack,cereal,snack
cerela with added protein powder,cereal with added protein,powder
chamomile,chamomile,chamomile
chanterelle,chanterelle,chanterelle
char,char,char
chard,chard,chard
cheddar,cheddar,cheddar
cheese,cheese,cheese
cheese cake,cheese cake,cheese cake
cheese powder,cheese,powder
cheese spread,cheese,spread
cherry,cherry,cherry
chestnut,chestnut,chestnut
chewing gum,chewing gum,chewing gum
chia seed,chia,seed
chicken,chicken,chicken
chicken carcase,chicken,carcase
chicken cooked egg,chicken,cooked egg
chicken egg,chicken,egg
chicken egg yolk,chicken,egg yolk
chicken fat tissue,chicken,fat tissue
chicken feed,chicken,chicken
chicken fresh meat,chicken,fresh meat
chicken liver,chicken,liver
chicken minced meat,chicken,minced meat
chicken offal,chicken,offal
chicken stock cube,chicken,stock cube
chickpeas,chickpeas,chickpeas
chickpeas flour,chickpeas,flour
chicorie,chicorie,chicorie
chicory coffee,chicory coffee,chicory coffee
chili pepper,chili pepper,chili pepper
chinese cabbage,cabbage,chinese
chinotto,chinotto,chinotto
chips,chips,chips
chives,chives,chives
chocolate,chocolate,chocolate
chocolate biscuit,biscuit,chocolate
chocolate cake,chocolate cake,chocolate cake
chocolate coated confectionery,confectionery,chocolate coated
chocolate spread,chocolate spread,chocolate spread
choux pastry,choux pastry,choux pastry
chutney,chutney,chutney
cider,cider,cider
cinnamon,cinnamon,cinnamon
clam,clam,clam
clementine,clementine,clementine
clove,clove,clove
coalfish,coalfish,coalfish
cockles,cockles,cockles
cocoa,cocoa,cocoa
cocoa bean,cocoa,bean
cocoa butter,cocoa butter,cocoa butter
cocoa drink powder,cocoa,drink powder
cocoa mass,cocoa mass,cocoa mass
cocoa powder,cocoa,powder
coconut,coconut,coconut
coconut milk,coconut,milk
coconut oil,coconut,oil
cod,cod,cod
cod liver,cod,liver
cod liver oil,cod,liver oil
coffee bean,coffee bean,coffee bean
coffee beverage,coffee,beverage
coffee powder,coffee powder,coffee powder
cola,cola,cola
comb honey,honey,comb
cooked and seasoned pasta,pasta,cooked and seasoned
cooked pasta,pasta,cooked
cooked pork ham,pork,cooked ham
cooked poultry,poultry,cooked
cooked ricee,rice,cooked
cooked salami,salami,cooked
cooked sausage,sausage,cooked
cooked spread sausage,sausage,cooked spread
cooked tomato sauce,tomato,cooked sauce
cooked turkey,turkey,cooked
coriander leaf,coriander,leaf
coriander seed,coriander,seed
courgette,courgette,courgette
couscous,couscous,couscous
cow half fat milk,cow,half fat milk
cow milk,cow,milk
cow milk fat,cow,milk fat
cow milk powder,cow,milk powder
cow skimmed milk,cow,skimmed milk
cow whole milk,cow,whole milk
crab,crab,crab
cracker,cracker,cracker
cranberry,cranberry,cranberry
cranberry juice,cranberry,juice
cream,cream,cream
cream cheese,cream cheese,cream cheese
cream powder,cream,powder
crisp bread,crisp bread,crisp bread
croissant,croissant,croissant
crucian carp,carp,crucian
cucumber,cucumber,cucumber
curl maize,maize,curl
curly cabbage,cabbage,curly
currant,currant,currant
curry sauce,curry,sauce
custard,custard,custard
cuttlefish,cuttlefish,cuttlefish
cyprinids,cyprinids,cyprinids
dark chocolate,chocolate,dark
dates,dates,dates
decaffeinated tea,tea,decaffeinated
deer fat tissue,deer,fat tissue
deer fresh meat,deer,fresh meat
deer liver,deer,liver
dentex,dentex,dentex
dill leaf,dill,leaf
dish finger breaded,fish,finger breaded
dolphinfish,dolphinfish,dolphinfish
doughnut,doughnut,doughnut
dried apple,apple,dried
dried apricot,apricot,dried
dried banana,banana,dried
dried bay leaf,bay leaf,dried
dried bean,bean,dried
dried beef,beef,dried
dried black eyed peas,peas,dried black eyed
dried broad bean,broad bean,dried
dried chicken egg,chicken,dried egg
dried chicken egg yolk,chicken,dried egg yolk
dried chickpeas,chickpeas,dried
dried curry,curry,dried
dried dates,dates,dried
dried egg pasta,egg pasta,dried
dried fennel,fennel,dried
dried field bean,field bean,dried
dried figs,figs,dried
dried fruit,fruit,dried
dried garden peas,garden peas,dried
dried herb,herb,dried
dried legume,legume,dried
dried lentil,lentil,dried
dried lovage,lovage,dried
dried lupin,lupin,dried
dried mango,mango,dried
dried marjoram,marjoram,dried
dried meat and vegetable soup,meat and vegetable,dried soup
dried mint,mint,dried
dried mix for cake,mix for cake,dried
dried mung bean,mung bean,dried
dried mushroom,mushroom,dried
dried navy bean,navy bean,dried
dried oregano,oregano,dried
dried pasta,pasta,dried
dried peas,peas,dried
dried peas for feed,peas,dried
dried peppers,peppers,dried
dried plum,plum,dried
dried pork,pork,dried
dried porridge,porridge,dried
dried rosemary,rosemary,dried
dried sage,sage,dried
dried soup,soup,dried
dried soy,soy,dried
dried thyme,thyme,dried
dried tomato,tomato,dried
dried tomato soup,tomato,dried soup
dried vegetable,vegetable,dried
dried vegetable soup,vegetable,dried soup
dry basil,basil,dry
duck egg,duck,egg
duck fat tissue,duck,fat tissue
duck fresh meat,duck,fresh meat
duck liver,duck,liver
dulse,dulse,dulse
eel,eel,eel
egg pasta,egg pasta,egg pasta
elderberry juice,elderberry,juice
emmental,emmental,emmental
escarole,escarole,escarole
fat and oil,fat and oil,fat and oil
fat from animal tissue,fat,from animal tissue
fennel,fennel,fennel
fennel seed,fennel,seed
fenugreek seed,fenugreek,seed
fermented milk,fermented milk,fermented milk
fermented tea,tea,fermented
feta,feta,feta
fiber supplement,fiber,supplement
figs,figs,figs
filled cooked pasta,pasta,filled cooked
fish,fish,fish
fish and potato meal,fish and potato,meal
fish and vegetable meal,fish and vegetable,meal
fish liver,fish,liver
fish meal,fish,meal
fish offal,fish,offal
fish oil,fish,oil
fish paste,fish,paste
